Ref,Val,Package,PosX,PosY,Rot,Side
"R1","5.1KΩ","R_0402_1005Metric",156.832500,-48.670000,0.000000,bottom
"R2","5.1KΩ","R_0402_1005Metric",153.880000,-48.620000,180.000000,bottom
"C1","0.1uf","C_0201_0603Metric",155.410000,-77.490000,-90.000000,top
"C2","0.1uf","C_0201_0603Metric",149.872500,-68.770000,180.000000,top
"C3","0.1uf","C_0201_0603Metric",149.107500,-72.500000,180.000000,top
"C4","0.1uf","C_0201_0603Metric",157.840000,-66.492500,90.000000,top
"C5","0.1uf","C_0201_0603Metric",160.370000,-72.270000,0.000000,top
"C6","0.1uf","C_0201_0603Metric",155.790000,-64.417500,90.000000,top
"C7","0.1uf","C_0201_0603Metric",160.375000,-67.760000,0.000000,top
"C8","0.1uf","C_0201_0603Metric",160.382500,-68.580000,0.000000,top
"C9","1uf","C_0201_0603Metric",159.737500,-66.700000,0.000000,top
"C10","0.1uf","C_0201_0603Metric",156.240000,-77.500000,-90.000000,top
"C11","0.1uf","C_0201_0603Metric",157.230000,-64.540000,90.000000,top
"C12","1uf","C_0201_0603Metric",154.030000,-64.330000,90.000000,top
"C13","10uf","C_0201_0603Metric",161.090000,-56.522500,-90.000000,top
"C14","10uf","C_0201_0603Metric",143.380000,-54.840000,0.000000,top
"C15","33uf","C_0201_0603Metric",152.750000,-79.107500,90.000000,top
"C16","33uf","C_0201_0603Metric",145.667500,-79.790000,0.000000,top
"C17","0.1uf","C_0201_0603Metric",154.940000,-64.380000,90.000000,top
"C18","10μf","C_0201_0603Metric",168.227500,-53.210000,0.000000,top
"C19","0.1μf","C_0201_0603Metric",174.727500,-54.390000,0.000000,top
"C20","10μf","C_0201_0603Metric",168.567500,-51.050000,0.000000,top
"C21","10μf","C_0201_0603Metric",169.937500,-49.510000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",155.620000,-49.410000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P1.00mm_Vertical",139.290000,-62.820000,0.000000,top
"J3","Conn_01x20","PinHeader_1x20_P1.00mm_Vertical",175.375000,-63.165000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P1.00mm_Vertical",158.140000,-77.640000,90.000000,top
"L1","2.2μH","L_6.3x6.3_H3",172.150000,-58.200000,0.000000,top
"R3","27Ω","R_0402_1005Metric",156.170000,-56.680000,90.000000,top
"R4","27Ω","R_0402_1005Metric",155.000000,-56.620000,90.000000,top
"R5","1K","R_0402_1005Metric",145.462500,-78.830000,180.000000,top
"R6","1KΩ","R_0402_1005Metric",145.992500,-60.850000,0.000000,top
"R7","10KΩ","R_0402_1005Metric",142.992500,-61.330000,0.000000,top
"R8","100Ω","R_0201_0603Metric",169.685000,-54.320000,0.000000,top
"SW1","SW_Push","SW_SPST_TS-1088-xR020",144.420000,-58.450000,0.000000,top
"SW2","SW_Push","SW_SPST_TS-1088-xR020",151.450000,-58.380000,0.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",155.230000,-71.670000,0.000000,top
"U2","MCP1700x-120xxMB","SOT-89-3",147.650000,-52.200000,0.000000,top
"U3","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",147.410000,-64.540000,0.000000,top
"U4","ER_OLEDM0.91_1x-I2C","ER_OLEDM0.91_1x-I2C",139.590000,-94.570000,90.000000,top
"U5","TPS63000","Texas_DRC0010J_ThermalVias",172.460000,-52.030000,0.000000,top
"XT1","~","JST-PH-2",163.240000,-62.355000,0.000000,top
"Y2","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",149.390000,-77.840000,180.000000,top
