"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Description"
"C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C17","11","0.1uf","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","","Unpolarized capacitor"
"C9,C12","2","1uf","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","","Unpolarized capacitor"
"C13,C14","2","10uf","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","","Unpolarized capacitor"
"C15,C16","2","33uf","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","","Unpolarized capacitor"
"C18,C20,C21","3","10μf","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","","Unpolarized capacitor"
"C19","1","0.1μf","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","","Unpolarized capacitor"
"J1","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","USB 2.0-only 14P Type-C Receptacle connector"
"J2,J3","2","Conn_01x20","","","","Connector_PinHeader_1.00mm:PinHeader_1x20_P1.00mm_Vertical","","Generic connector, single row, 01x20, script generated (kicad-library-utils/schlib/autogen/connector/)"
"J4","1","Conn_01x03","","","","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical","","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"
"L1","1","2.2μH","","","","Inductor_SMD:L_6.3x6.3_H3","","Inductor"
"R1","1","5.1lK","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","","Resistor"
"R2","1","5.1K","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","","Resistor"
"R3,R4","2","27","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","","Resistor"
"R5,R6","2","1K","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","","Resistor"
"R7","1","10K","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","","Resistor"
"R8","1","100Ω","","","","Resistor_SMD:R_0201_0603Metric","","Resistor"
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_SPST_TS-1088-xR020","","Push button switch, generic, two pins"
"U1","1","RP2040","","","","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf","A microcontroller by Raspberry Pi, Dual ARM Cortex-M0+, 133MHz, no flash, 264KB SRAM, 8 PIO state machines, VQFN-56"
"U2","1","MCP1700x-120xxMB","","","","Package_TO_SOT_SMD:SOT-89-3","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf","250mA Low Quiscent Current LDO, 1.2V output, SOT-89"
"U3","1","W25Q128JVS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","128Mbit / 16MiB Serial Flash Memory, Standard/Dual/Quad SPI, 2.7-3.6V, SOIC-8"
"U4","1","ER_OLEDM0.91_1x-I2C","","","","Display:ER_OLEDM0.91_1x-I2C","https://www.buydisplay.com/download/manual/ER-OLEDM0.91-1_Datasheet.pdf","SSD1306 OLED module, 0.91 inch, 128x32, I2C"
"U5","1","TPS63000","","","","Package_SON:Texas_DRC0010J_ThermalVias","http://www.ti.com/lit/ds/symlink/tps63000.pdf","Buck-Boost Converter, 1.8-5.5V Input Voltage, 1.8A Switch Current, Adjustable 1.2-5.5V Output Voltage, VSON-10"
"XT1","1","","","","","JST-PH-2.:JST-PH-2","",""
"Y2","1","Crystal_GND24","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","","Four pin crystal, GND on pins 2 and 4"
