Designator,Mid X,Mid Y,Rotation,Layer
C1,155.41,-77.49,270.0,top
C10,156.24,-77.5,270.0,top
C11,157.23,-64.54,90.0,top
C12,154.03,-64.33,90.0,top
C13,161.09,-56.5225,270.0,top
C14,143.38,-54.84,0.0,top
C15,152.75,-79.1075,90.0,top
C16,145.6675,-79.79,0.0,top
C17,154.94,-64.38,90.0,top
C18,168.2275,-53.21,0.0,top
C19,174.7275,-54.39,0.0,top
C2,149.8725,-68.77,180.0,top
C20,168.5675,-51.05,0.0,top
C21,169.9375,-49.51,0.0,top
C3,149.1075,-72.5,180.0,top
C4,157.84,-66.4925,90.0,top
C5,160.37,-72.27,0.0,top
C6,155.79,-64.4175,90.0,top
C7,160.375,-67.76,0.0,top
C8,160.3825,-68.58,0.0,top
C9,159.7375,-66.7,0.0,top
J1,155.62,-49.41,180.0,top
J2,139.29,-72.32,0.0,top
J3,175.375,-72.665,0.0,top
J4,159.14,-77.64,90.0,top
L1,172.15,-58.2,0.0,top
R1,156.8325,-48.67,180.0,bottom
R2,153.88,-48.62,0.0,bottom
R3,156.17,-56.68,90.0,top
R4,155.0,-56.62,90.0,top
R5,145.4625,-78.83,180.0,top
R6,145.9925,-60.85,0.0,top
R7,142.9925,-61.33,0.0,top
R8,169.685,-54.32,0.0,top
SW1,144.42,-58.45,0.0,top
SW2,151.45,-58.38,0.0,top
U1,155.23,-71.67,90.0,top
U2,147.65,-52.2,180.0,top
U3,147.41,-64.54,270.0,top
U4,139.59,-90.76,90.0,top
U5,172.46,-52.03,0.0,top
XT1,163.24,-57.855,0.0,top
Y2,149.39,-77.84,180.0,top
